Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   16,  768,    1,  768,    1,      768,     1,
FFN1_input,            16,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            16, 3072,    1, 3072,    1,      768,     1,

MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   16,  768,    1,  768,    1,      768,     1,
FFN1_input,            16,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            16, 3072,    1, 3072,    1,      768,     1,

MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   16,  768,    1,  768,    1,      768,     1,
FFN1_input,            16,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            16, 3072,    1, 3072,    1,      768,     1,

MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   16,  768,    1,  768,    1,      768,     1,
FFN1_input,            16,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            16, 3072,    1, 3072,    1,      768,     1,

MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   16,  768,    1,  768,    1,      768,     1,
FFN1_input,            16,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            16, 3072,    1, 3072,    1,      768,     1,

MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    16,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  16,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  16,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  16,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   16,  768,    1,  768,    1,      768,     1,
FFN1_input,            16,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            16, 3072,    1, 3072,    1,      768,     1,
